City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.59,overcast clouds,-23.1203,-134.9692,People ThankYou
1,Puerto Ayora,EC,78.51,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Pangai,TO,80.65,light rain,-19.8,-174.35,Ha'apai Beach Resort
7,Mount Isa,AU,96.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
9,Hobart,AU,73.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Port Moresby,PG,82.6,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
15,San Cristobal,VE,71.78,clear sky,7.7669,-72.225,Pirineos
16,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
17,Mecca,SA,62.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
18,Pimentel,PE,70.84,scattered clouds,-6.8367,-79.9342,Hotel Puerto del Sol
19,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
21,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
26,Mataura,NZ,67.73,few clouds,-46.1927,168.8643,Ellie's Villa
28,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Bluff,NZ,60.39,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Namatanai,PG,86.5,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
35,Busselton,AU,80.26,broken clouds,-33.65,115.3333,Observatory Guest House
36,Bengkulu,ID,83.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Carnarvon,AU,85.89,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
39,Birjand,IR,60.62,few clouds,32.8663,59.2211,Birjand Tourist Hotel
41,Burnie,AU,73.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
42,Guerrero Negro,MX,65.52,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
44,Riyadh,SA,61.16,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
49,Port Keats,AU,91.35,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
50,Ponta Do Sol,PT,62.01,broken clouds,32.6667,-17.1,Hotel do Campo
55,Bandarbeyla,SO,76.33,scattered clouds,9.4942,50.8122,JABIR HOTEL
56,Arraial Do Cabo,BR,75.78,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Yining,CN,63.57,overcast clouds,29.0361,114.5636,Xiushui Hotel
58,Geraldton,AU,97.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
60,Butaritari,KI,80.69,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
62,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Lindsey Hôtel
63,Castro,BR,64.49,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
66,Lompoc,US,61.12,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
71,Beniganj,IN,85.12,clear sky,27.2833,80.45,ADARS JAN SEVA KENDRA
72,Namibe,AO,72.45,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
73,Sao Felix Do Xingu,BR,71.92,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
74,Riberalta,BO,74.5,scattered clouds,-10.9833,-66.1,Hotel Colonial
78,Kishi,NG,78.98,broken clouds,9.0833,3.85,New NCCF KISI
81,Lorengau,PG,84.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Sola,VU,82.94,broken clouds,-13.8833,167.55,Leumerus Bungalows
85,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
86,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,New Norfolk,AU,72.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
88,Faanui,PF,81.59,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Port Alfred,ZA,67.57,moderate rain,-33.5906,26.891,The Halyards Hotel
90,Matamoros,MX,62.71,clear sky,25.5333,-103.25,Quinta Belem
91,Nouadhibou,MR,61.48,clear sky,20.931,-17.0347,El Medina
96,Cidreira,BR,72.36,overcast clouds,-30.1811,-50.2056,Hotel Castelo
99,Camana,PE,69.37,scattered clouds,-16.6228,-72.7111,Hostal Morales
102,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
104,Hasaki,JP,63.28,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
105,Karanpura,IN,81.91,clear sky,29.1018,75.092,सहारण भवन
108,Alice Springs,AU,83.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
111,Cabo San Lucas,MX,74.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,Galveston,US,62.94,clear sky,29.3669,-94.9669,Crystal Suites
117,Dali,CN,62.53,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
119,Tuatapere,NZ,64.56,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
122,Codrington,AU,67.69,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
123,Esperance,AU,72.88,clear sky,-33.8667,121.9,Hospitality Esperance
124,Coolum Beach,AU,83.34,clear sky,-26.5333,153.1,Coolum Beach Resort
126,Sorong,ID,81.68,light rain,-0.8833,131.25,Waigo Splash Hotel
128,Nakhon Nayok,TH,90.99,broken clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
130,Saldanha,ZA,61.72,clear sky,-33.0117,17.9442,Blue Bay Lodge
137,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
138,Pathein,MM,86.13,broken clouds,16.7833,94.7333,Pathein Hotel
139,East London,ZA,68.77,broken clouds,-33.0153,27.9116,Tu Casa
141,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
142,Mont-Dore,NC,84.18,overcast clouds,-22.2833,166.5833,GIte
143,Itarema,BR,76.89,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
144,Ikwiriri,TZ,72.23,clear sky,-7.9562,38.9716,Greenland lodge
145,Sibolga,ID,85.21,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
146,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
150,Berbera,SO,78.57,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
156,Hithadhoo,MV,83.82,scattered clouds,-0.6,73.0833,Scoop Guest House
158,Hobyo,SO,80.98,light rain,5.3505,48.5268,Iftin hotel hobyo
159,Etchoropo,MX,65.37,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
162,Mitsamiouli,KM,82.29,broken clouds,-11.3847,43.2844,Foyer ADM
164,Rodrigues Alves,BR,73.36,overcast clouds,-7.738,-72.6509,Pousada Aconchego
165,Nelson Bay,AU,76.08,light rain,-32.7167,152.15,Mantra Nelson Bay
167,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
170,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
176,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
184,Sabancuy,MX,73.99,scattered clouds,18.9667,-91.1833,pulpo
185,Kaeo,NZ,72.32,few clouds,-35.1,173.7833,Bushido Lodge
188,Piacabucu,BR,77.47,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
190,Tumpat,MY,85.98,few clouds,6.1978,102.171,Baan Tanyong B&B
192,Atuona,PF,79.61,overcast clouds,-9.8,-139.0333,Villa Enata
195,Mangrol,IN,79.16,broken clouds,21.1167,70.1167,Hotel The Royal Honours
200,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Mumford,GH,80.13,overcast clouds,5.2618,-0.759,Spanish Villa
205,Victoria,HK,77.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
208,Porto Walter,BR,73.11,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
209,Nhulunbuy,AU,75.81,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
212,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
213,Dingle,PH,87.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
214,Santa Isabel Do Rio Negro,BR,75.34,overcast clouds,-0.4139,-65.0192,Hotel GSA
216,Lao Cai,VN,78.42,broken clouds,22.4833,103.95,Legend Hotel
219,Ko Samui,TH,89.51,scattered clouds,9.5357,99.9357,The Passage
220,Iranshahr,IR,68.34,clear sky,27.2025,60.6848,نیک سرشت
223,San Patricio,US,64.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
225,Vaitape,PF,81.59,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
227,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
228,Bredasdorp,ZA,62.62,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
229,Anshun,CN,73.44,clear sky,26.25,105.9333,安顺麦吉风格酒店
233,Launceston,AU,74.84,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
236,Harper,LR,79.16,few clouds,4.375,-7.7169,Screensaver
237,Baytown,US,61.11,clear sky,29.7355,-94.9774,Econo Lodge
238,Keti Bandar,PK,78.44,clear sky,24.1447,67.4497,Haji laloo memon house
240,Wonthaggi,AU,65.82,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
243,Naze,JP,68.92,overcast clouds,28.3667,129.4833,Shishime Hotel
247,Tarauaca,BR,73.72,overcast clouds,-8.1614,-70.7656,Flat Temporada
249,Arlit,NE,74.52,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
252,Sampit,ID,81.0,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
253,Hervey Bay,AU,78.22,few clouds,-25.2986,152.8535,Shelly Bay Resort
254,Eyl,SO,77.47,few clouds,7.9803,49.8164,Amiin Hotel
257,Salvador,SV,73.8,broken clouds,13.8333,-88.9167,Chico's Ranch
259,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
260,Shingu,JP,60.26,broken clouds,33.7333,135.9833,Shingu UI Hotel
271,Rio Grande,BR,66.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
272,Tahoua,NE,77.09,clear sky,14.8888,5.2692,Bungalows Guesthouse
274,Kasongo,CD,67.93,light rain,-4.45,26.6667,Guest Hôtel
280,Port Blair,IN,86.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
286,Honiara,SB,82.94,broken clouds,-9.4333,159.95,Heritage Park Hotel
287,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
288,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
289,Xanxere,BR,60.71,overcast clouds,-26.8769,-52.4042,Center Hotel
290,Gangapur,IN,83.52,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
291,Soe,ID,79.95,heavy intensity rain,-9.8607,124.284,Dena Hotel
293,Minab,IR,79.02,clear sky,27.1467,57.0801,Bam campground
295,Hambantota,LK,82.09,few clouds,6.1241,81.1185,Bungalow 63
296,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
299,Te Anau,NZ,65.61,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
300,Lundazi,ZM,61.61,overcast clouds,-12.2929,33.1782,Knox Lodge
301,Barranca,PE,69.96,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
303,Kaitangata,NZ,62.55,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
305,Lakes Entrance,AU,65.82,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
307,Axim,GH,79.2,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
308,Aloleng,PH,86.52,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
309,Neuquen,AR,60.64,clear sky,-38.9516,-68.0591,Hotel del Comahue
311,Sonari,IN,66.25,broken clouds,27.0667,95.0333,Hotel Green View
312,Mount Gambier,AU,69.42,few clouds,-37.8333,140.7667,The Commodore
313,Anloga,GH,82.2,broken clouds,5.7947,0.8973,Pin Drop Hotel
314,Cairns,AU,90.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
317,Sao Joao Da Barra,BR,76.14,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
318,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
320,Broken Hill,AU,72.61,clear sky,-31.95,141.4333,Royal Exchange Hotel
328,Basoko,CD,72.19,few clouds,1.2391,23.616,Jackyna Hotel
329,Jieshi,CN,64.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
330,Bakel,SN,81.68,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
333,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
335,Miramar,US,80.6,overcast clouds,25.9873,-80.2323,Stadium Hotel
339,Guilin,CN,66.31,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
342,Taltal,CL,65.23,clear sky,-25.4,-70.4833,Residencial Karime
346,Khandbari,NP,76.3,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
347,Uberaba,BR,75.78,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
348,Talara,PE,74.14,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
350,Port Lincoln,AU,66.65,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
353,Payo,ID,87.76,overcast clouds,-3.7508,103.6372,Mess keban agung
355,Kudahuvadhoo,MV,83.07,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
357,Wanaka,NZ,64.08,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
362,Dalaba,GN,63.73,scattered clouds,10.7,-12.25,Hôtel Tangama
363,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
369,Bilma,NE,67.05,clear sky,18.6853,12.9164,Expeditions Ténére voyages
371,Turmalina,BR,63.86,few clouds,-17.2856,-42.73,Hotel Cristal
372,Dunedin,NZ,61.3,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
373,Mayumba,GA,78.8,moderate rain,-3.432,10.6554,LIKWALE LODGE
374,Boueni,YT,78.78,overcast clouds,-12.9025,45.0761,The feet in water
376,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
381,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
383,Presidente Franco,PY,70.32,thunderstorm with rain,-25.5333,-54.6167,Hotel Dan Inn Express Foz do Iguaçu.
387,Meulaboh,ID,82.96,broken clouds,4.1363,96.1285,Kost Pria
393,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
397,Ribeira Grande,PT,60.66,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
402,Yenagoa,NG,77.9,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
403,Sawtell,AU,71.62,light intensity shower rain,-30.3833,153.1,The Bungalow Sawtell
405,Mar Del Plata,AR,60.1,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
408,Barra Dos Coqueiros,BR,78.82,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
412,Cape Canaveral,US,71.01,haze,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
413,Kavaratti,IN,82.18,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
415,Jardim,BR,75.65,moderate rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
417,Puerto Leguizamo,CO,73.96,overcast clouds,-0.1934,-74.7819,la casona de juancho
418,Kontagora,NG,78.44,few clouds,10.3999,5.4695,Queens Guest Inn
419,Ahipara,NZ,68.65,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
423,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
427,Atar,MR,64.27,clear sky,20.5169,-13.0499,Oumou Elghoura
428,Sonipat,IN,75.2,clear sky,28.9833,77.0167,Cozette Hotel Sonipat
430,San Jose,US,60.13,scattered clouds,37.3394,-121.895,The Westin San Jose
433,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
435,Tayoltita,MX,61.79,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
437,Tshikapa,CD,70.0,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
439,Papara,BR,77.4,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
443,Maraba,BR,72.77,moderate rain,-5.3686,-49.1178,Hotel Del Principe
446,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
455,Kalabo,ZM,64.45,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
456,Along,IN,68.9,broken clouds,28.1667,94.7667,Hotel West
458,San-Pedro,CI,77.95,light rain,4.7485,-6.6363,Hotel Maria
459,Amboasary,MG,74.21,clear sky,-25.0333,46.3833,Le Bon Samaritain
461,Lucapa,AO,64.35,few clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
467,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
468,Pandan,PH,85.33,few clouds,14.0453,124.1694,Bonifacio Lodge
469,Acarau,BR,77.41,scattered clouds,-2.8856,-40.12,castelo pizzaria
470,San Vicente,AR,65.48,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
472,Katobu,ID,87.35,scattered clouds,-4.9408,122.5276,La Ode Husein
473,Takoradi,GH,79.86,broken clouds,4.8845,-1.7554,Raybow International Hotel
475,Koumac,NC,81.82,broken clouds,-20.5667,164.2833,Le Monitel
478,Srandakan,ID,83.43,overcast clouds,-7.9386,110.2506,Puri Brata
481,Mabaruma,GY,72.97,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
482,Port Elizabeth,ZA,62.1,light intensity drizzle rain,-33.918,25.5701,39 On Nile Guest House
483,Kaseda,JP,66.06,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
484,Port-Gentil,GA,80.87,light rain,-0.7193,8.7815,Fengshui Residence
486,Nauta,PE,73.85,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
487,Karratha,AU,92.82,broken clouds,-20.7377,116.8463,ibis Styles Karratha
488,Huarmey,PE,71.1,overcast clouds,-10.0681,-78.1522,Hotel Miramar
489,Alyangula,AU,89.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
495,Santa Maria,BR,69.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
497,Touros,BR,77.85,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
498,Tutoia,BR,76.69,overcast clouds,-2.7619,-42.2744,Pousada Guará's
502,Manono,CD,66.13,scattered clouds,-7.3,27.4167,Hotel hewa bora
508,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
509,Moerai,PF,80.37,overcast clouds,-22.4333,-151.3333,Le Manotel
511,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
513,Caravelas,BR,74.37,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
514,Asosa,ET,67.53,clear sky,10.0667,34.5333,Blendana Hotel Assosa
515,Chimbote,PE,69.85,overcast clouds,-9.0853,-78.5783,Hotel Briliá
517,Brufut,GM,67.37,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
519,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
520,Atambua,ID,82.65,light rain,-9.1061,124.8925,Kost Alfa Flat
523,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
525,Bacungan,PH,87.08,broken clouds,9.9106,118.7022,Sumayang Property
527,Mandera,KE,79.77,light rain,3.9366,41.867,Hiren Hotel Mandera
529,Mananjary,MG,73.72,few clouds,-21.2167,48.3333,Vahiny Lodge
531,Ugep,NG,77.88,overcast clouds,5.8086,8.0812,Classic Bar
533,Kununurra,AU,93.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
535,Gandara,PH,89.02,broken clouds,12.013,124.8118,Faircrest Hotel
536,Sechura,PE,72.07,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
537,Hermosillo,MX,80.2,clear sky,29.0667,-110.9667,ibis Hermosillo
542,Warri,NG,78.42,overcast clouds,5.5167,5.75,BON Hotel Delta
543,Kirakira,SB,83.12,scattered clouds,-10.4544,161.9205,SanBiz Lodge
546,San Nicolas,PH,89.51,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
552,Kiunga,PG,88.05,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
553,Coruripe,BR,77.52,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
554,Tuy Hoa,VN,87.69,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
556,Chiang Rai,TH,87.58,few clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
558,Luwuk,ID,86.47,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
560,Nara,JP,63.77,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
564,Puerto Ayacucho,VE,81.12,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
568,Mirandopolis,BR,76.59,few clouds,-21.1336,-51.1017,Hotel Piriquitu's
572,Carutapera,BR,75.09,overcast clouds,-1.195,-46.02,Lidera
573,Durham,US,61.74,scattered clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
577,Akbarpur,IN,89.42,clear sky,26.4167,82.55,Hotel Aviral Palace
580,Camocim,BR,75.87,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
582,Necochea,AR,61.56,light rain,-38.5473,-58.7368,dyd -mar Hotel
584,Vanimo,PG,83.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
586,Port Macquarie,AU,71.49,light rain,-31.4333,152.9167,Rydges Port Macquarie
587,Basco,PH,79.02,broken clouds,20.4487,121.9702,Nathaniel's Lodge
589,Muncar,ID,83.32,broken clouds,-8.4333,114.3333,Zaky Homestay
590,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
591,Balabac,PH,84.81,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
594,Kieta,PG,84.42,light rain,-6.2167,155.6333,Uruna Bay Retreat
596,Chalchuapa,SV,72.16,overcast clouds,13.9867,-89.6811,Hostal Las Flores Chalchuapa
597,Mbandaka,CD,72.48,broken clouds,0.0487,18.2603,Guest House Epervier
603,Jacareacanga,BR,73.09,moderate rain,-6.2222,-57.7528,Casa do Ian😎
605,Bubaque,GW,75.38,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
606,Sabang,ID,82.67,moderate rain,5.8933,95.3214,Hotel Citra
608,Alugan,PH,83.19,overcast clouds,12.2188,125.4808,JM Lodge
611,Moussoro,TD,72.34,few clouds,13.6408,16.4901,Hôtel Salama
614,Bosaso,SO,76.82,few clouds,11.2842,49.1816,Red Sea Hotel
616,Pontianak,ID,84.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
617,Botou,CN,60.37,moderate rain,38.0667,116.5667,Hanting Hotel Huanghua City Hall
621,Dubti,ET,77.52,few clouds,11.7361,41.0853,degu Shiferaw
623,Diglur,IN,91.06,scattered clouds,18.55,77.6,YASIN DEGLOOR
625,Divinopolis,BR,65.62,clear sky,-20.1389,-44.8839,Hotel Fátima
626,Bonthe,SL,76.5,clear sky,7.5264,-12.505,Bonthe Holiday Village
631,Cockburn Town,TC,77.97,clear sky,21.4612,-71.1419,Osprey Beach Hotel
632,Hirara,JP,75.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
633,Sao Filipe,CV,69.49,scattered clouds,14.8961,-24.4956,Hotel Xaguate
637,San Quintin,MX,63.23,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
639,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
641,Progreso,MX,72.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
642,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
643,Guarapari,BR,73.99,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
648,Tautira,PF,80.85,light rain,-17.7333,-149.15,Pension Oaoa
651,Mahibadhoo,MV,82.81,overcast clouds,3.7833,72.9667,Omadhoo Inn
652,La Ligua,CL,63.34,clear sky,-32.4524,-71.2311,Hotel Anchimallen
656,Muisne,EC,77.63,light rain,0.6,-80.0333,Quinta Samay
658,Matucana,PE,61.74,overcast clouds,-11.85,-76.4,Hostal La Fontana
663,Kibala,TD,82.35,clear sky,9.1104,18.3463,hotel safari
664,Zirandaro,MX,79.68,clear sky,18.45,-100.9833,Hotel Pineda
669,Bansi,IN,87.3,clear sky,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
671,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
672,Teknaf,BD,82.53,broken clouds,20.8624,92.3058,Forestry Guesthouse
